DATE,open,high,low,close,tick_volume,spread
2025-02-06 04:00:00,0.90096,0.90226,0.90074,0.90222,1101,12
2025-02-06 05:00:00,0.90224,0.90251,0.9021,0.90237,843,4
2025-02-06 06:00:00,0.90237,0.90293,0.90216,0.90293,675,4
2025-02-06 07:00:00,0.90285,0.90296,0.90259,0.90288,834,1
2025-02-06 08:00:00,0.90288,0.9031,0.90264,0.90294,848,0
2025-02-06 09:00:00,0.90295,0.90347,0.90286,0.90342,1433,2
2025-02-06 10:00:00,0.90343,0.90458,0.90315,0.90411,1923,12
2025-02-06 11:00:00,0.90409,0.90543,0.90378,0.90527,1621,11
2025-02-06 12:00:00,0.90527,0.90549,0.90476,0.90511,1490,12
2025-02-06 13:00:00,0.90511,0.90552,0.90471,0.90488,1556,12
2025-02-06 14:00:00,0.90489,0.90567,0.90479,0.90544,2338,12
2025-02-06 15:00:00,0.90544,0.90604,0.90451,0.90517,2513,12
2025-02-06 16:00:00,0.9052,0.90614,0.90515,0.90563,2567,12
2025-02-06 17:00:00,0.90563,0.90592,0.90497,0.90509,2530,12
2025-02-06 18:00:00,0.9051,0.9055,0.90454,0.90548,1828,12
2025-02-06 19:00:00,0.90547,0.90556,0.90472,0.90478,1346,12
2025-02-06 20:00:00,0.9048,0.90506,0.90395,0.90442,1745,9
2025-02-06 21:00:00,0.90442,0.90518,0.90436,0.90507,1205,12
2025-02-06 22:00:00,0.9051,0.90518,0.90459,0.90467,968,12
2025-02-06 23:00:00,0.90473,0.90499,0.90459,0.9047,782,5
2025-02-07 00:00:00,0.90411,0.90487,0.90355,0.9046,384,37
2025-02-07 01:00:00,0.90442,0.90525,0.90364,0.90512,603,2
2025-02-07 02:00:00,0.90512,0.90553,0.90467,0.90552,899,6
2025-02-07 03:00:00,0.90551,0.90578,0.90544,0.90573,845,12
